Time,v(clk),v(data),v(out)
1.43693440000000e-09,0.00000000000000e+00,0.00000000000000e+00,1.24248499980363e-04
2.77911168000000e-09,0.00000000000000e+00,0.00000000000000e+00,-7.16425269059254e-05
5.00000000000000e-09,0.00000000000000e+00,0.00000000000000e+00,5.53563193827177e-05
5.01000000000000e-09,5.99999999999986e-02,0.00000000000000e+00,7.80878627757442e-04
5.03000000000000e-09,1.80000000000001e-01,0.00000000000000e+00,2.09835792198106e-03
5.07000000000000e-09,4.20000000000000e-01,0.00000000000000e+00,3.89767590190879e-03
5.10000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,3.52170194254778e-03
5.10800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,2.98622710465990e-03
5.12400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,1.84823081426158e-03
5.15600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.49234937814116e-04
5.22000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-2.07102212293303e-03
5.34800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.92099518253314e-03
5.60400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-5.57347122667112e-04
6.11600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-2.57202487154898e-04
7.07056284367530e-09,6.00000000000000e-01,0.00000000000000e+00,4.61349697601861e-04
8.97968853102591e-09,6.00000000000000e-01,0.00000000000000e+00,-1.37495574116676e-04
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-3.84735232716593e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,3.13623658446116e-06
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,7.39957734907926e-05
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,1.34288481801303e-04
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,6.37134171334042e-05
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.45718071787693e-05
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.48541849776174e-05
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.08446617533717e-04
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.23320016076664e-04
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.99857155481348e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.53718703397493e-05
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.02292128155226e-05
1.18836276431825e-08,6.00000000000000e-01,6.00000000000000e-01,-8.69958365090628e-06
1.34188829295475e-08,6.00000000000000e-01,6.00000000000000e-01,1.26724708511446e-05
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.63082094938038e-06
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-3.72066567866591e-04
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.18725568493465e-03
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-3.11036043492323e-03
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.62342729445257e-03
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.05822240653725e-03
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.99232828098050e-03
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.71117166209006e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.60825807307524e-03
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.38919001931169e-03
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.26652483527115e-03
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-8.12414331468926e-04
1.72400000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.53063008287154e-05
1.90687956585153e-08,0.00000000000000e+00,6.00000000000000e-01,-1.42868585471120e-04
2.13450085574673e-08,0.00000000000000e+00,6.00000000000000e-01,1.80349227035657e-04
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-6.35931650629553e-05
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,7.25658604269153e-04
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.21211671330576e-03
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,4.56561614201413e-03
